"","police_force","Total_Crimes","Crime_Rate_per_100k"
"1","Avon and Somerset Constabulary",56220,3407.27272727273
"2","Bedfordshire Police",19500,2934.53724604966
"3","British Transport Police",10414,NA
"4","Cambridgeshire Constabulary",27547,3443.375
"5","Cheshire Constabulary",39400,3682.24299065421
"6","City of London Police",1084,251.508120649652
"7","Cleveland Police",29547,5183.68421052632
"8","Cumbria Constabulary",17114,3436.54618473896
"9","Derbyshire Constabulary",42344,3994.71698113208
"10","Devon & Cornwall Police",47329,2689.14772727273
"11","Dorset Police",21564,2775.28957528958
"12","Durham Constabulary",26962,4206.24024960998
"13","Dyfed-Powys Police",19313,3692.73422562141
"14","Essex Police",77751,4180.16129032258
"15","Gloucestershire Constabulary",20727,3233.54134165367
"16","Gwent Police",20553,3436.95652173913
"17","Hampshire Constabulary",73917,3695.85
"18","Hertfordshire Constabulary",29667,2472.25
"19","Humberside Police",36413,3898.60813704497
"20","Kent Police",87649,4687.11229946524
"21","Lancashire Constabulary",66945,4404.27631578947
"22","Leicestershire Police",38807,3496.12612612613
"23","Lincolnshire Police",23430,3058.74673629243
"24","Merseyside Police",68002,4755.38461538462
"25","Metropolitan Police Service",244927,2724.4382647386
"26","Norfolk Constabulary",34522,3777.02407002188
"27","North Wales Police",28742,4088.47795163585
"28","North Yorkshire Police",21403,2572.47596153846
"29","Northamptonshire Police",30437,4020.73976221929
"30","Northumbria Police",55216,3756.19047619048
"31","Nottinghamshire Police",37512,3206.15384615385
"32","Police Service of Northern Ireland",49334,NA
"33","South Wales Police",43905,3252.22222222222
"34","South Yorkshire Police",57679,4061.9014084507
"35","Staffordshire Police",34657,3040.08771929825
"36","Suffolk Constabulary",24131,3170.95926412615
"37","Surrey Police",27745,2312.08333333333
"38","Sussex Police",47784,2778.13953488372
"39","Thames Valley Police",78329,3223.41563786008
"40","Warwickshire Police",17833,3053.59589041096
"41","West Mercia Police",40669,3128.38461538462
"42","West Midlands Police",167123,5684.45578231293
"43","West Yorkshire Police",130722,5562.63829787234
"44","Wiltshire Police",17803,2448.83081155433
